nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0622288	Jeff Nathanson	1965	\N	writer,miscellaneous,producer	tt0266915,tt0120179,tt0264464,tt1790809
nm0628056	David Newman	1954	\N	composer,music_department,soundtrack	tt0144528,tt0117218,tt0251127,tt0094142
nm0628739	Christine Ng	1969	\N	actress	tt0120812,tt0108656,tt0446326,tt0116464
nm0628827	Richard Ng	1939	\N	actor,writer,miscellaneous	tt0086605,tt0106545,tt0325703,tt0088105
nm0628838	See-Yuen Ng	1944	\N	producer,writer,director	tt0121259,tt0080179,tt1462900,tt0116239
nm0629993	Thorsten Nickel	1966	\N	actor	tt0136774,tt0256145,tt0114126,tt1729662
nm0636046	Nolan North	1970	\N	actor,miscellaneous,soundtrack	tt4642170,tt5766946,tt1578873,tt1408101
nm0636280	Richard Norton	1950	\N	actor,stunts,producer	tt0089243,tt0382992,tt1392190,tt1386697
nm0657064	Ho-Sung Pak	1967	\N	actor,stunts,producer	tt1234719,tt1274418,tt2872718,tt2109248
nm0659015	Lei Pan	1927	2017	writer,director,music_department	tt1779851,tt0067420,tt0072839,tt1315594
nm0666702	Peter Pau	1952	\N	cinematographer,actor,director	tt0865556,tt0454914,tt0190332,tt0106342
nm0670481	Pai Wei	1957	\N	actor	tt0089135,tt0077655,tt0077559,tt0079372
nm0684134	Siu Ping Cheng	\N	\N	actress	tt0084955,tt0094374,tt0087203,tt0192632
nm0690940	Hang-Sang Poon	\N	\N	cinematographer,actor,camera_department	tt1386932,tt0373074,tt0127357,tt0227984
nm0702666	Ching Wong	1949	\N	actor,stunts,miscellaneous	tt0070800,tt5559570,tt0080748,tt0069959
nm0704979	Paul Rabjohns	\N	\N	music_department,composer,soundtrack	tt0443489,tt0358135,tt2660888,tt1477834
nm0711840	Brett Ratner	1969	\N	producer,director,actor	tt0120812,tt0376994,tt1267297,tt0289765
nm0717550	Ethan Reiff	1965	\N	writer,producer,cinematographer	tt0165564,tt0245803,tt0955308,tt0465353
nm0719096	Esmond Ren	\N	\N	producer,actor	tt6879446,tt2238032,tt1424310,tt0116704
nm0721825	Lee Reynolds	\N	\N	writer	tt0099399,tt0092534,tt0105480,tt0127357
nm0728307	Robert Riskin	1897	1955	writer,producer,director	tt0027996,tt0030993,tt0280590,tt0025316
nm0729374	Nicholas Rivera	\N	\N	composer,music_department,soundtrack	tt4416518,tt0265521,tt0100961,tt0113153
nm0750357	Damon Runyon	1880	1946	writer,actor,producer	tt2870786,tt0048140,tt0034514,tt0024240
nm0751481	Toby Russell	\N	\N	actor,assistant_director,producer	tt0396780,tt3724490,tt0109433,tt0396548
nm0760796	Hiroyuki Sanada	1960	\N	actor,music_department,composer	tt4154796,tt0448134,tt0351817,tt1430132
nm0762632	John Sham	1952	\N	actor,producer,miscellaneous	tt0091951,tt0101764,tt0093944,tt0093426
nm0765306	Arthur M. Sarkissian	1960	\N	producer,executive	tt0116830,tt0266915,tt1615160,tt0120812
nm0775443	Adam Schroeder	\N	\N	producer,executive	tt0120382,tt0162661,tt0112697,tt1706593
nm0783652	Sergey Selyanov	1955	\N	producer,director,writer	tt0847880,tt0416044,tt0202665,tt6537238
nm0788405	Bing Shao	1968	\N	actor,miscellaneous	tt0461329,tt0131655,tt0470984,tt0365847
nm0788411	Run Run Shaw	1907	2014	producer,miscellaneous,production_manager	tt0083658,tt0066587,tt0078243,tt0070800
nm0790925	Dean Shek	1950	\N	actor,producer,miscellaneous	tt0080179,tt0996367,tt0094357,tt0094854
nm0791461	Shen Chan	1940	1984	actor	tt0070800,tt0353250,tt0072087,tt0078243
nm0791473	Ie Lung Shen	\N	\N	actor	tt0076227,tt0165362,tt0074595
nm0791949	John Sheppard	\N	\N	writer,producer,miscellaneous	tt0091475,tt0088559,tt0091431,tt0108909
nm0793930	Chin Yung Shing	\N	\N	composer,music_department,sound_department	tt0102562,tt0094374,tt0094146,tt0378194
nm0795517	Qi Shu	1976	\N	actress,soundtrack,writer	tt4276752,tt0293662,tt2017561,tt3508840
nm0798661	Casey Silver	1955	\N	producer,miscellaneous,editorial_department	tt1860242,tt0865556,tt0349710,tt0317648
nm0800465	Robert Simonds	1964	\N	producer,executive	tt4651520,tt6359956,tt1987680
nm0803298	Siu Tin Yuen	1912	1979	actor,stunts,miscellaneous	tt0201366,tt0080179,tt0058108,tt5340988
nm0806822	Ron Smerczak	1949	2019	actor	tt0115335,tt0127357,tt0113719,tt1492179
nm0811607	Solon So	\N	\N	producer,miscellaneous	tt0184894,tt0290095,tt0865556,tt1075419
nm0829181	April Stewart	1969	\N	actress,soundtrack	tt2133326,tt1229238,tt1695360,tt1322987
nm0839003	Yueh Sun	1930	2018	actor,music_department,assistant_director	tt0183390,tt0085388,tt5592298,tt0093435
nm0847562	Naoto Takenaka	1956	\N	actor,director,writer	tt0123302,tt0286916,tt0109008,tt0102480
nm0848355	Alan Tam	1950	\N	actor,producer,music_department	tt0091431,tt0289112,tt0121057,tt0105851
nm0848903	Tao-Liang Tan	1947	\N	actor,producer,writer	tt0101509,tt2279393,tt0073694,tt0202004
nm0849214	Mark Tandy	1957	\N	actor	tt4786824,tt0093512,tt0317198,tt1615160
nm0849282	Edward Tang	1946	\N	writer,producer,miscellaneous	tt0095403,tt0104558,tt0113326,tt0111512
nm0851317	Fred Tatasciore	1968	\N	actor,miscellaneous,director	tt0372588,tt0385700,tt1302011,tt1823262
nm0857620	Justin Theroux	1971	\N	actor,writer,producer	tt0166924,tt0144084,tt0305357,tt3631112
nm0862479	Lung Ti	1946	\N	actor,director,writer	tt0069881,tt0092263,tt0223603,tt0111512
nm0862875	James Tien	\N	\N	actor,assistant_director	tt0067824,tt0094374,tt0067933,tt0091091
nm0864435	David N. Titcher	\N	\N	producer,writer	tt0327437,tt4539954,tt0412915,tt3663490
nm0867225	Elliot Tong	\N	\N	producer,actor,writer	tt0296042,tt0116704,tt3202890,tt6643972
nm0867246	Man-Ming Tong	\N	\N	writer	tt0111512
nm0867262	Stanley Tong	1960	\N	producer,director,stunts	tt0266408,tt0113326,tt0365847,tt0116704
nm0870802	Nick Tramontane	\N	\N	writer	tt0116704
nm0874619	Chi-Kuang Tsai	\N	\N	writer,director,producer	tt0185205,tt0078252,tt0102890,tt2185876
nm0874676	Eric Tsang	1953	\N	actor,producer,director	tt0144029,tt0325655,tt0111512,tt0338564
nm0874684	Kenneth Tsang	1935	\N	actor,director,writer	tt0120008,tt0097202,tt0266915,tt0246460
nm0874866	Nicholas Tse	1980	\N	actor,soundtrack,music_department	tt0279193,tt0386005,tt0168264,tt1403130
nm0876223	Harry Tugend	1897	1989	producer,writer,assistant_director	tt0056742,tt0038438,tt0034960,tt0041944
nm0876602	Barbie Tung	\N	\N	producer,production_manager	tt0113326,tt0111512,tt0127357,tt0116704
nm0876603	Bill Tung	1933	2006	actor,miscellaneous	tt0104558,tt0116704,tt0113326,tt0089374
nm0882054	Benny Urquidez	1952	\N	stunts,actor,miscellaneous	tt0098206,tt0118880,tt0450385,tt0119229
nm0894523	Jules Verne	1828	1905	writer	tt0373051,tt2566204,tt0327437,tt1397514
nm0903456	Cyrus Voris	\N	\N	writer,producer,art_department	tt0465353,tt0165564,tt0245803,tt0955308
nm0906402	Austin Wai	1957	2012	actor,stunts	tt0276156,tt0478024,tt0992911,tt0078243
nm0906414	Tommy Wai	\N	\N	composer,music_department,soundtrack	tt0251433,tt1611823,tt2106741,tt3414954
nm0907742	Galen Walker	\N	\N	sound_department,producer,production_manager	tt0159097,tt1291150,tt0453556,tt3949660
nm0910800	Michael Wandmacher	1967	\N	composer,music_department,soundtrack	tt1179891,tt3717252,tt1544608,tt3814634
nm0910855	Chao-Hsi Wang	\N	\N	editor,production_manager	tt0058531,tt8858004,tt1160784,tt1630583
nm0910924	Hui-Ling Wang	\N	\N	writer,actress,soundtrack	tt0808357,tt0190332,tt0111797,tt6157626
nm0910966	Leehom Wang	1976	\N	actor,soundtrack,composer	tt2401825,tt1319718,tt2717822,tt0808357
nm0910996	Nathan Wang	1956	\N	composer,music_department,soundtrack	tt0127357,tt0113326,tt1414382,tt0454945
nm0911032	Shuo Wang	1958	\N	writer,actor,director	tt1810602,tt0256630,tt2992152,tt1367515
nm0911093	Jimmy Wang Yu	1944	\N	actor,producer,director	tt3091254,tt0072913,tt1718199,tt0067009
nm0911117	Zhonglei Wang	1970	\N	producer,production_manager,actor	tt4560436,tt3072482,tt6306064,tt3922818
nm0915304	Scott Waugh	\N	\N	stunts,producer,actor	tt0295701,tt1591479,tt5503688,tt2369135
nm0915452	David Tao	1942	2012	actor,music_department,composer	tt0079509,tt0091360,tt1758630,tt2571062
nm0916424	Peter Webber	1968	\N	director,editor,producer	tt0335119,tt2103264,tt0367959,tt6238896
nm0917671	Wei Wang	\N	\N	producer,miscellaneous	tt0425637,tt0765120,tt4217392,tt0209077
nm0918518	Fred Weintraub	1928	2017	producer,writer,miscellaneous	tt0079756,tt0074646,tt0074409,tt0070034
nm0923932	Paul Wheeler	1934	\N	writer	tt0073796,tt3726258,tt0288045,tt0071278
nm0923980	William Wheeler	1967	\N	producer,writer	tt4341582,tt2249007,tt0462338,tt2032557
nm0929489	Tom Wilkinson	1948	\N	actor,soundtrack	tt0247425,tt0465538,tt2278388,tt0119164
nm0935042	Wally Wingert	1961	\N	actor,miscellaneous,writer	tt0434665,tt0385700,tt1568322,tt1282022
nm0938925	Annie Wu	1978	\N	actress,make_up_department	tt0184526,tt0116704,tt0162874,tt7529862
nm0938939	Arthur Wong	\N	\N	cinematographer,actor,producer	tt1403130,tt0370032,tt0226693,tt0913968
nm0938944	Barry Wong	1946	1992	writer,actor,miscellaneous	tt0089371,tt0103045,tt0104684,tt0097202
nm0939022	Dan-yee Wong	\N	\N	composer,soundtrack	tt0184526,tt0116820,tt1020976,tt0996978
nm0939056	Fann Wong	1971	\N	actress,soundtrack	tt0300471,tt0317034,tt0314978,tt0317019
nm0939147	Jing Wong	1955	\N	writer,producer,director	tt0489067,tt0375669,tt3444184,tt0885507
nm0939153	Joey Wang	1967	\N	actress,animation_department	tt0102932,tt0279523,tt0097244,tt0093978
nm0939202	Kirk Wong	1949	\N	actor,director,writer	tt0096263,tt0084056,tt0120609,tt0108656
nm0939255	Michael Wong	1965	\N	actor,producer,director	tt0279960,tt0103950,tt0429078,tt2109248
nm0939415	Yik Wong	1952	2017	writer	tt0855326,tt0105399,tt0852721
nm0943079	Daniel Wu	1974	\N	actor,producer,director	tt0800362,tt1258972,tt2051879,tt0803096
nm0943104	Jing Wu	1974	\N	actor,director,writer	tt3540136,tt7131870,tt0478024,tt0859163
nm0943138	Wu Ma	1942	2014	actor,director,miscellaneous	tt0093978,tt0094374,tt0107056,tt0084587
nm0945188	Shi-Kwan Yen	1947	\N	actor,stunts	tt0070800,tt0103285,tt0108148,tt0064067
nm0945457	Mirai Yamamoto	1974	\N	actress	tt1392162,tt0780049,tt0127357,tt2847220
nm0945802	Geling Yan	\N	\N	writer,actress	tt6654316,tt1410063,tt0115005,tt0851532
nm0945805	Chun Yen	1917	1980	actor,director,producer	tt0058760,tt0211740,tt0211452,tt0058505
nm0947177	Lee Wai Yee	\N	\N	writer	tt0104558
nm0947318	Yun Chiao Yeh	\N	\N	writer,miscellaneous,assistant_director	tt0111765,tt0099812,tt0085388,tt0115007
nm0947807	Pauline Yeung	1967	\N	miscellaneous,actress	tt0111772,tt0093015,tt1194582,tt0115693
nm0948026	Shirley Yim	1965	\N	actress	tt0082463,tt0081804,tt0843229,tt0827972
nm0948044	Hsiao Yin Shen	\N	\N	miscellaneous,producer	tt0076178,tt0165193,tt5389812,tt0079509
nm0948123	Françoise Yip	1972	\N	actress	tt0115693,tt0113326,tt0758730,tt0359013
nm0949124	Carey Yost	1968	\N	animation_department,art_department,writer	tt0175058,tt0844471,tt0345950,tt0278238
nm0950528	Ling Lung Yu	\N	\N	actor	tt0076227,tt0074747
nm0950568	Yu Ting	\N	\N	writer,assistant_director,producer	tt0076659,tt0104684,tt0092501,tt0113326
nm0950621	Tung-Chun Yuan	\N	\N	editor	tt0073694
nm0950699	Kai-Chi Yuen	\N	\N	writer,assistant_director,director	tt0111512,tt1608148,tt0093978,tt0103285
nm0950701	Alan Yuen	\N	\N	writer,director,assistant_director	tt0485976,tt3341072,tt1533749,tt3781476
nm0950703	Anita Yuen	1971	\N	actress	tt0111770,tt0841150,tt0105864,tt0109958
nm0950707	Biao Yuen	1957	\N	actor,stunts,miscellaneous	tt0094374,tt0184894,tt0085211,tt0068935
nm0950759	Woo-Ping Yuen	1945	\N	actor,stunts,director	tt0446059,tt0373074,tt0190332,tt0378194
nm0950775	Jennifer Yuh Nelson	1972	\N	animation_department,art_department,director	tt1302011,tt0118475,tt0118929,tt0441773
nm0950964	Yung-Tai Lin	\N	\N	production_manager,producer	tt0212635,tt0208901,tt0124891,tt1164575
nm0955377	Li Zhang	\N	\N	cinematographer,director,camera_department	tt4054338,tt0465676,tt0299977,tt0425637
nm0955471	Ziyi Zhang	1979	\N	actress,soundtrack,producer	tt1462900,tt0397535,tt0190332,tt0385004
nm0958969	Harald Zwart	1965	\N	director,writer,producer	tt1155076,tt3300980,tt0313911,tt1538403
nm0960722	Paul Clay	\N	\N	writer,director,producer	tt0095403,tt0114126,tt0103437,tt0090418
nm0961453	Daniel Navarrete	\N	\N	editor,editorial_department,cinematographer	tt0420504,tt2040593,tt0283373,tt0438877
nm0994538	Joseph Kahn	1972	\N	director,cinematographer,editor	tt0329691,tt4671848,tt1701990,tt5883570
nm1010222	Albert Yeung	\N	\N	producer,miscellaneous,executive	tt1175491,tt0296042,tt0288045,tt6878882
nm1019493	Kevin Donovan	\N	\N	director,assistant_director,producer	tt7575504,tt0290095,tt3703512,tt8026848
nm1022277	Cheuk-Hon Szeto	\N	\N	writer,director,sound_department	tt0093015,tt0094374,tt0091431,tt0083199
nm10483676	Zhengting Zhu	\N	\N	actor	tt9695722,tt8146366
nm10575242	Zion Wang	\N	\N	actress,art_director	tt10085422
nm1062565	Jay Longino	\N	\N	writer,editor,editorial_department	tt7712592,tt2238032,tt5834402,tt7334528
nm1070766	Rob Diamond	\N	\N	producer,writer,director	tt4837126,tt1943696,tt0892105,tt9354118
nm1078479	John Cena	1977	\N	actor,soundtrack,producer	tt3152624,tt1160368,tt4701182,tt0419946
nm1080906	Szu-Cheng Mu	\N	\N	actor,miscellaneous	tt0099886,tt2033273,tt0122089,tt1679624
nm1085861	Sang-Woo Kwon	1976	\N	actor	tt1454545,tt0485552,tt0419135,tt1424310
nm1091782	Ye Liu	1978	\N	actor	tt0292066,tt0450044,tt0473444,tt1919137
nm1093951	Aaron Taylor-Johnson	1990	\N	actor,soundtrack,music_department	tt1266029,tt4550098,tt1250777,tt0831387
nm1095832	Chun Chin	\N	\N	actor,miscellaneous,set_decorator	tt0073168,tt0195257,tt0076659,tt0400699
nm1109494	Alita Holly	1966	\N	producer,director,production_manager	tt0380521,tt1674783,tt0306028,tt0325773
nm1117226	Tom Wheeler	\N	\N	writer,producer,actor	tt3014284,tt0448694,tt0452718,tt1593823
nm1121703	Ken Miller	\N	\N	writer,miscellaneous	tt0374633,tt1774331,tt0300860,tt1928335
nm1138888	Ying Cheung	1919	1984	actor,director,writer	tt1346328,tt6289282,tt0205769,tt6289284
nm1144952	Terry Britten	\N	\N	soundtrack,composer	tt0089530,tt0091635,tt0084504,tt0089370
nm1146362	King Sang Tang	\N	\N	writer,miscellaneous	tt0081499,tt0082463,tt0089847,tt0102077
nm1163187	Su-cheon Bae	\N	\N	actor	tt0069800,tt0333585,tt0333927,tt2327409
nm1163787	Chao Lin	\N	\N	cinematographer,camera_department,editor	tt1849766,tt0198664,tt0094854,tt0075959
nm1189025	Steve Czarnecki	1973	\N	producer,director,writer	tt2381459,tt8300268,tt8301130,tt0145487
nm1204634	Londin Winters	\N	\N	editor,producer	tt0438897,tt0277171,tt0438815,tt0438900
nm1215055	Ping Jiang	\N	\N	director,producer,actor	tt5934728,tt9496886,tt1478291,tt1754001
nm1217899	Shanghai	\N	\N	actor,producer	tt0407567,tt0382851,tt0350082,tt0432427
nm1218953	Charlene Choi	1982	\N	actress,soundtrack	tt0865496,tt4510896,tt0366371,tt0351887
nm1228408	Qiu Yuen	\N	\N	actress,director,producer	tt0078393,tt0373074,tt0097545,tt3801934
nm1250939	Bo-lin Chen	1983	\N	actor,soundtrack	tt2215604,tt2473942,tt1538399,tt0469050
nm1257480	Rufus Jones	1975	\N	actor,writer,producer	tt3610926,tt5603098,tt2554946,tt2375858
nm1284187	Zhonglun Ren	\N	\N	producer,miscellaneous,executive	tt0425637,tt0212712,tt0808357,tt0859163
nm1290580	David Gerson	\N	\N	producer,production_manager,actor	tt0472033,tt1013753,tt2852406,tt1901024
nm1292891	Jinglei Xu	1974	\N	producer,actress,director	tt1621780,tt0379587,tt0424234,tt4823122
nm1295684	Zhongqiang Jin	\N	\N	producer	tt0342697,tt5934728,tt8126860,tt0367247
nm1309286	David Andrew Goldstein	\N	\N	writer	tt0327437
nm1320897	Tian Jing	\N	\N	actress	tt2034800,tt3731562,tt2557478,tt6492378
nm1365846	Adrian Lee	\N	\N	actor,composer,music_department	tt0288045,tt0380908,tt0139654,tt0102034
nm1384267	David Buckley	\N	\N	composer,soundtrack,music_department	tt3799694,tt4196776,tt1442462,tt0840361
nm1390445	Graham Lyle	1944	\N	soundtrack,composer	tt0091635,tt2848292,tt0089370,tt0089530
nm1409854	Rick Baker	\N	\N	actor,writer,producer	tt0374633,tt0300860,tt0388013,tt0126164
nm1424658	Bennett Davlin	\N	\N	writer,producer,director	tt1282038,tt0418879,tt0288045,tt0441036
nm1471273	Gwing-Gai Lee	\N	\N	writer,miscellaneous,director	tt0488572,tt0113471,tt0087578,tt0446755
nm1535523	Jaden Smith	1998	\N	actor,soundtrack,producer	tt1815862,tt0454921,tt0970416,tt1155076
nm1548493	Jaycee Chan	1982	\N	actor,soundtrack,music_department	tt5813366,tt1517633,tt1308138,tt0831386
nm1549063	Bingbing Fan	1981	\N	actress,music_department,producer	tt0399650,tt1877832,tt4409784,tt5918090
nm1561982	Pilou Asbæk	1982	\N	actor,soundtrack,miscellaneous	tt1219827,tt2216240,tt0944947,tt4530422
nm1595732	Kuo Chung Ching	\N	\N	actor,production_manager	tt0201099,tt0082482,tt0086304,tt0074747
nm1615913	Kiefer Liu	\N	\N	director,producer,writer	tt1479241,tt0777723,tt0408930,tt0833451
nm1618536	Xiaoding Zhao	\N	\N	cinematographer,director,camera_department	tt6138688,tt1410063,tt0473444,tt0385004
nm1622192	Cary Cheng	\N	\N	producer,writer,assistant_director	tt1798684,tt5813366,tt1615160,tt0995739
nm1630992	Madeline Carroll	1996	\N	actress,producer	tt1027862,tt0432021,tt0817177,tt1273678
nm1648520	Katie Leung	1987	\N	actress	tt1201607,tt0417741,tt0330373,tt0373889
nm1651354	Anna Churina	1978	\N	actress	tt6541376,tt0457074,tt1224378,tt1820524
nm1662916	Chak Yan Mok	\N	\N	camera_department,cinematographer	tt0091421,tt3060566,tt0100595,tt0102017
nm1682154	Susanna Tsang	\N	\N	producer,miscellaneous,production_manager	tt1442571,tt0114991,tt2102472,tt3672840
nm1683236	Bobby Holliday	\N	\N	actress	tt0419277,tt0483841,tt1191122,tt5449328
nm1683787	Adina Howard	1974	\N	soundtrack,actress,composer	tt0117891,tt0115783,tt5281600,tt0104558
nm1698429	Aileen Li	\N	\N	producer,production_manager	tt0788086,tt5813366,tt1532348,tt1390405
nm1707265	Albert Lee	\N	\N	producer,executive	tt1533749,tt0469050,tt1533117,tt1424310
nm1814409	Ching Chu	1947	\N	actress	tt0065109,tt0076659,tt0201343,tt0073694
nm1842626	Min Yao	1917	1967	composer,music_department,soundtrack	tt0118694,tt0349861,tt0205336,tt0445392
nm1868320	Ashleigh Ball	1983	\N	actress,soundtrack,writer	tt1751105,tt2908228,tt3529198,tt4131800
nm1882491	Francis Kao	\N	\N	producer	tt0818257,tt0375568,tt0465657,tt0453556
nm1897071	Oleg Stepchenko	1964	\N	producer,director,writer	tt0457074,tt0459998,tt1224378,tt6218010
nm1906532	Yu-Hsin Chen	\N	\N	actor,writer,assistant_director	tt0124891,tt0058505,tt1240962,tt0184045
nm1923871	Alexey Petrukhin	1973	\N	actor,producer,writer	tt4574604,tt10487852,tt8244298,tt1224378
nm1934885	Hai-shu Li	\N	\N	writer,director,assistant_director	tt8467178,tt0365847,tt2459282,tt6857276
nm1936402	Tak-Bun Wong	1963	\N	actor,assistant_director,soundtrack	tt0114437,tt1708505,tt1010012,tt0386005
nm1937443	Leo Zhang	\N	\N	director,writer,music_department	tt2124966,tt5813366,tt8702944,tt3302850
nm1951118	Chris Ord	\N	\N	writer,producer,special_effects	tt6461736,tt8390342,tt4421578,tt1495708
nm1953304	Matt Corman	\N	\N	writer,producer,actor	tt6461736,tt1495708,tt4421578,tt8390342
nm1974626	Daniel Persitz	\N	\N	writer,producer,director	tt1204977,tt7737696,tt0442933,tt0385880
nm1979442	Gangliang Fang	\N	\N	director,writer	tt3835880,tt4526842,tt1478291,tt0470532
nm1999991	Devon Kliger	\N	\N	writer,producer,director	tt3901388,tt6214712,tt4076274
nm2002649	Dave Franco	1985	\N	actor,writer,producer	tt3110958,tt1670345,tt2004420,tt3531824
nm2028525	Jordan Schur	1964	\N	producer,executive	tt1634106,tt1423995,tt1741202,tt1291584
nm2046855	Zach Woods	1984	\N	actor,writer,soundtrack	tt1386588,tt1226774,tt1289401,tt2575988
nm2079044	Yin-Ju Lin	\N	\N	actor	tt0079484
nm2084894	Yen Si-Kuan	\N	\N	actor	tt0079484
nm2091311	Alex Jia	\N	\N	producer,miscellaneous,writer	tt4819560,tt2599716,tt10137146,tt1667150
nm2142356	Liang-Kuan Li	\N	\N	producer,miscellaneous	tt0068000,tt1779821,tt0194064,tt1499357
nm2184859	Si Won Choi	1986	\N	actor,soundtrack	tt0485863,tt3614922,tt3672840,tt3543344
nm2199286	Jie Han	\N	\N	director,writer,producer	tt2043878,tt7645502,tt0495135,tt3394734
nm2222628	Wayne Marc Godfrey	1981	\N	producer,miscellaneous,director	tt1615160,tt5362988,tt1285009,tt2932536
nm2274407	Weixing Yao	\N	\N	stunts,actor	tt0370032,tt1155076,tt0425637,tt2238032
nm2283697	Xiaoshi Zhao	\N	\N	cinematographer,camera_department	tt6772874,tt1744790,tt1388901,tt7638330
nm2296454	Aaron Buchsbaum	\N	\N	writer,miscellaneous,art_department	tt0473705,tt2396475,tt2579372,tt4685784
nm2313503	Yu-Li Lan	\N	\N	actress	tt0074747,tt3329592,tt7671708,tt2058644
nm2318036	Christopher Donaldson	\N	\N	art_department,writer,director	tt4047038,tt10166508,tt6477264,tt2096634
nm2342339	Ning Kai	\N	\N	writer,producer,composer	tt0070017,tt0420199,tt0188291,tt0185591
nm2342385	Lan Shu	\N	\N	writer	tt0184599,tt1854287,tt0201555,tt1225893
nm2359321	Chi Yuan Hsi	\N	\N	writer	tt0078252
nm2362852	Huo An Hsi	\N	\N	writer	tt0078252
nm2366522	Wen-Chia Chang	\N	\N	writer,miscellaneous,editor	tt1298649,tt2238032,tt1524930,tt1795603
nm2378838	Mak Bau	\N	\N	actor	tt1810618,tt0386005
nm2387337	Yao-Tsu Chang	\N	\N	cinematographer,composer	tt0095403
nm2432722	Ethan Juan	1982	\N	actor,soundtrack	tt1847713,tt1604900,tt4012914,tt3508840
nm2497357	Fai Young Chan	1968	\N	composer,music_department,soundtrack	tt4392726,tt0282159,tt0485976,tt0923923
nm2502938	Hsin Wei	\N	\N	writer	tt0165193,tt0079509,tt0082482,tt0165136
nm2591248	Yishan Zhang	1992	\N	actor,music_department	tt9496844,tt8216074,tt4701702,tt1173568
nm2598556	Peng Cheng	\N	\N	actor,stunts	tt3186814,tt2870530,tt0082720,tt0072744
nm2601077	Ming Chi Tang	\N	\N	writer,assistant_director	tt0080623,tt2320310,tt0165122,tt0076178
nm2633856	Kuo-Nan Huang	\N	\N	cinematographer,camera_department	tt2096636,tt0068000,tt0187046,tt0263681
nm2639120	Xingdong Wang	\N	\N	writer,actor,producer	tt1021085,tt5164864,tt5165012,tt1772230
nm2704921	Ke-Wei Cheng	\N	\N	actress	tt0082428,tt0185591,tt0085389,tt0085545
nm2809002	Cheng-Hang Lu	\N	\N	producer,miscellaneous	tt0137427,tt0070017,tt0184599,tt1152700
nm2818863	BenDavid Grabinski	1983	\N	writer,director,producer	tt9849004,tt7242142,tt10473306,tt7716770
nm2829518	Stephen McDonogh	\N	\N	producer,miscellaneous	tt1762399,tt5111874,tt6238896,tt2421662
nm2848532	Jianzhong Zhang	\N	\N	actor,producer,production_manager	tt0365847
nm2887441	Yang Kao	\N	\N	actor,miscellaneous	tt0070017,tt1164607,tt2900442,tt0198397
nm2887720	Lixin Fan	\N	\N	director,camera_department,producer	tt2101352,tt0795174,tt1512201,tt6238896
nm2888417	Li-Li Chen	1951	2017	actress,assistant_director,music_department	tt0195327,tt3037222,tt4535632,tt1859500
nm2900221	Peter Lam	\N	\N	producer,miscellaneous,executive	tt1724970,tt1393746,tt1371111,tt0913968
nm2955220	Hsiu-yi Fang	\N	\N	actor	tt0078128
nm2972864	Jared Stern	\N	\N	writer,producer,miscellaneous	tt4116284,tt2234155,tt1772341,tt1298649
nm2973494	Juana Collignon	\N	\N	actress	tt0865556
nm3014268	Yung-Kuo Li	\N	\N	actor	tt0078251
nm3073218	Kai Wang	1982	\N	actor,soundtrack	tt5846644,tt5141800,tt5154296,tt4226386
nm3086267	Hong Hsu	\N	\N	actor	tt0079315,tt0078128
nm3086858	Chih-Ping Chiang	\N	\N	actor,producer	tt1456912,tt0079315,tt0078128,tt0166094
nm3091923	Chung-Ping Wang	1941	\N	writer,production_manager,miscellaneous	tt1442511,tt0079484,tt0165123,tt0098617
nm3138511	Yang Yang	1991	\N	actor,soundtrack	tt1203538,tt10732794,tt6979188,tt4219438
nm3138980	Bing Bai	1986	\N	actress	tt2063011,tt2952602,tt1533749,tt1424310
nm3236074	Qixing Aisin-Gioro	\N	\N	actress,soundtrack	tt2460488,tt5649362,tt2672746,tt1754001
nm3318496	Logan Triplett	\N	\N	cinematographer,camera_department,director	tt3210974,tt1719612,tt7196162,tt4630786
nm3391237	Peng Lin	1986	\N	actress	tt1319718,tt3672840,tt10452030,tt1424310
nm3398435	Sung-jun Yoo	\N	\N	actor	tt2016940,tt1424310,tt3672840,tt1319718
nm3419723	Amber Kuo	1986	\N	actress,soundtrack,camera_department	tt3043630,tt3209682,tt2202471,tt1291125
nm3419887	Baihe Bai	1984	\N	actress,soundtrack	tt2115388,tt3781476,tt4819514,tt5596352
nm3434305	Abbi Jacobson	1984	\N	actress,writer,producer	tt1948541,tt2578560,tt3014284,tt4438848
nm3447142	Bingkun Cao	\N	\N	actor	tt7946836,tt10074486,tt1430751,tt2992152
nm3450764	David Mimran	\N	\N	producer	tt1423995,tt1291584,tt1634106,tt1255919
nm3521958	Yung-Charn Liang	\N	\N	editor,editorial_department	tt8156774,tt1854287,tt0202097,tt0200888
nm3529685	Kumail Nanjiani	1978	\N	actor,writer,producer	tt3014284,tt1489889,tt1055292,tt5462602
nm3544392	Xuan Hua	\N	\N	writer	tt1478291
nm3550195	Jiamin Wu	\N	\N	writer	tt1478291
nm3550491	Weijian Wu	\N	\N	producer	tt3503954,tt1478291,tt5934728
nm3616667	Baoguang Chen	\N	\N	writer,director	tt6009548,tt1772230,tt1438461
nm3653250	John Macey	\N	\N	actor,director,writer	tt7668870,tt7375404,tt2520512,tt0452046
nm3703488	Sergei Bespalov	\N	\N	producer,executive	tt0458481,tt2002718,tt0896872,tt2883512
nm3736632	Robert Jeffrey	\N	\N	miscellaneous,producer	tt0187033,tt0198792,tt0062936,tt0077277
