nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0151013	Man Keung Chan	\N	\N	writer,actor,producer	tt0111767,tt0100144,tt0110930,tt0373074
nm0151068	Philip Chan	1945	\N	actor,writer,director	tt0088107,tt0104684,tt0104558,tt0091940
nm0151080	Sing Chen	1940	\N	actor,stunts	tt1165280,tt0101764,tt0066587,tt0083061
nm0151113	Susan Chan	\N	\N	writer,actress	tt0477898,tt2008006,tt1196714,tt0127357
nm0151125	Teddy Chan	\N	\N	actor,director,producer	tt2952602,tt0115693,tt0226693,tt1403130
nm0151155	Michael Wai-Man Chan	1946	\N	actor,stunts,director	tt7559006,tt0079265,tt0076550,tt0083769
nm0151162	Willie Chan	1941	2017	producer,miscellaneous,actor	tt0865556,tt0089374,tt0290095,tt0184894
nm0151649	Peter Cheung	1945	\N	editor,actor,editorial_department	tt0068935,tt0089374,tt0127357,tt0113326
nm0151714	Hai Chang	\N	\N	cinematographer,actor,camera_department	tt0080179,tt0079609,tt0081497,tt0076939
nm0151793	Ping-Yu Chang	1926	2014	actress	tt4302792,tt0099886,tt0064451,tt1400376
nm0151870	Jung-Shu Chen	1940	2005	cinematographer,camera_department,sound_department	tt1859500,tt0320109,tt2359069,tt0105845
nm0152061	Winston Chao	1960	\N	actor	tt1071355,tt1772230,tt4779682,tt0107156
nm0154235	Emil Chau	1960	\N	music_department,soundtrack,actor	tt0113326,tt0184526,tt0827972,tt0105869
nm0155179	Chi-Hwa Chen	\N	\N	director,actor,miscellaneous	tt0202135,tt1219127,tt0089374,tt3756900
nm0155184	Jeong-Nam Kim	\N	\N	actress,miscellaneous	tt0122038,tt3139942,tt0077277,tt0075905
nm0155185	Ching-Chu Chen	1944	\N	cinematographer,camera_department	tt0068767,tt0074747,tt0081499,tt0067824
nm0155219	Fang Chi Chen	\N	\N	composer	tt0076227,tt0080748
nm0155411	Wen Ho Chen	\N	\N	production_manager,actor,producer	tt0121750,tt0087487,tt0121896,tt0186909
nm0155449	Yung-Yu Chen	\N	\N	composer,music_department	tt0077559,tt0078243,tt0066587,tt0070800
nm0155546	Carol 'Do Do' Cheng	1957	\N	actress	tt0096490,tt0085697,tt0101442,tt0099558
nm0155572	Kang-Yeh Cheng	1948	\N	actor,assistant_director	tt0065450,tt0068310,tt0064067,tt0068803
nm0155587	Kent Cheng	1951	\N	actor,director,producer	tt2888046,tt0108656,tt1386932,tt0089259
nm0156432	Tung Cho 'Joe' Cheung	\N	\N	actor,director,writer	tt0080156,tt0105384,tt1900886,tt0068935
nm0156434	Alfred Cheung	1955	\N	actor,writer,director	tt0101442,tt0085833,tt0288045,tt0271053
nm0156451	Chi-Sing Cheung	\N	\N	writer,director,actor	tt0429078,tt0127360,tt0457049,tt0339831
nm0156460	Chung-Kuei Chang	\N	\N	actor,stunts,assistant_director	tt0121546,tt0100584,tt2139819,tt0121452
nm0156511	Lai Ling Cheung	\N	\N	writer,miscellaneous	tt0087679,tt0282264,tt0108656,tt0100980
nm0156524	Man Po Cheung	\N	\N	cinematographer,camera_department,miscellaneous	tt0156998,tt0266703,tt1330525,tt0351887
nm0156583	Tony Cheung	\N	\N	cinematographer,camera_department,director	tt1258972,tt0901488,tt0111512,tt2102472
nm0156601	Yiu-Tsou Cheung	\N	\N	cinematographer,camera_department	tt0089374,tt0087578,tt0111512,tt0091431
nm0156809	Mac Chew	\N	\N	composer,soundtrack	tt0104558
nm0156906	Marco Mak	\N	\N	editor,director,editorial_department	tt0165499,tt0251433,tt0103285,tt0098147
nm0156963	Hsing-Lung Chiang	1928	\N	editor,editorial_department	tt0077868,tt0057989,tt0205336,tt0057248
nm0158883	Young-hwan Choi	1971	\N	cinematographer,camera_department	tt2357377,tt4768764,tt1274293,tt2330866
nm0159087	Thomas Chong	\N	\N	costume_designer,production_designer,art_director	tt0446059,tt0311041,tt0127357,tt1258972
nm0159450	Fu Liang Chou	\N	\N	composer,producer,music_department	tt1028528,tt0080179,tt0081452,tt0087145
nm0159494	Raymond Chow	1927	2018	producer,miscellaneous,actor	tt0070034,tt0089374,tt0068935,tt0113326
nm0160823	Emily Chu	1960	\N	actress	tt0091091,tt0092263,tt0094357,tt0093258
nm0160877	Shih Mei Chu	\N	\N	producer,production_designer,miscellaneous	tt0077541,tt0078251,tt0076227,tt0074747
nm0160900	Yen-Ping Chu	1950	\N	director,writer,producer	tt2166325,tt1239466,tt0187030,tt1328865
nm0161158	Chun Sun	\N	\N	actor	tt0348021,tt1772230,tt0425637,tt9124410
nm0161159	Tin Nam Chun	\N	\N	writer,miscellaneous	tt0429078,tt0913968,tt1403130,tt1075419
nm0161161	Chao Yung Chen	\N	\N	cinematographer,camera_department,actor	tt0075439,tt0070942,tt0081794,tt0445278
nm0165560	Paul B. Clay	1943	\N	sound_department,music_department,composer	tt0105121,tt0240890,tt0120888,tt0096684
nm0167195	Robert Clouse	1928	1997	director,writer,producer	tt0077594,tt0073835,tt0106770,tt0070034
nm0167795	Melissa Cobb	\N	\N	miscellaneous,producer,production_manager	tt0441773,tt2267968,tt1302011,tt0120631
nm0167938	Eva Cobo	1967	\N	actress	tt0099558,tt0441430,tt0090302,tt0085569
nm0176869	Steve Coogan	1965	\N	actor,producer,writer	tt0129690,tt0469021,tt2431286,tt0274309
nm0178997	Frank Coraci	1966	\N	director,actor,producer	tt0120888,tt0327437,tt0120484,tt0389860
nm0192984	Paul Currie	\N	\N	producer,director,assistant_director	tt1131724,tt0316353,tt5813366,tt2119532
nm0197773	Richard Dale	\N	\N	producer,director,writer	tt0808138,tt0412617,tt6238896,tt0200346
nm0201304	Gregory Poirier	1961	\N	writer,producer,director	tt1273678,tt1828246,tt0120036,tt0465234
nm0201373	Jennifer Darling	1946	\N	actress,miscellaneous	tt0117876,tt0129167,tt0073965,tt0071054
nm0212933	Rod Dean	\N	\N	editorial_department,editor,miscellaneous	tt1951266,tt0111512,tt2094766,tt1951265
nm0213374	Kristine DeBell	1954	\N	actress,soundtrack	tt0069658,tt0078878,tt0080436,tt0079540
nm0223359	Tom Dey	1965	\N	director,producer,executive	tt0284490,tt0427229,tt0184894,tt1392197
nm0225146	Lorenzo di Bonaventura	1957	\N	producer,actor,executive	tt0430105,tt1046173,tt4779682,tt0418279
nm0227625	Sheng Ding	\N	\N	director,writer,editor	tt9243442,tt2599716,tt5846644,tt4819560
nm0229694	David Dobkin	1969	\N	producer,director,writer	tt1972591,tt1872194,tt0790736,tt0486583
nm0232504	Tung-Shing Yee	1957	\N	actor,director,producer	tt0430772,tt4786802,tt0841150,tt1075419
nm0233036	Michael Donovan	1953	\N	actor,miscellaneous,casting_director	tt3468260,tt3748528,tt2488496,tt0219458
nm0246738	Romeo Díaz	\N	\N	composer,music_department,soundtrack	tt0093978,tt0098147,tt0100973,tt0103285
nm0262968	Lee Evans	1964	\N	actor,writer,music_department	tt0119715,tt0129387,tt0119116,tt0288045
nm0263727	Neil Every	\N	\N	writer,director,camera_department	tt0407782,tt2385378,tt4136008,tt2950668
nm0263851	Rosamund Kwan	1962	\N	actress	tt0091091,tt0085841,tt0103328,tt0102074
nm0266747	Fang Fang	1953	\N	actress,miscellaneous	tt1575717,tt2446390,tt5850976,tt3091726
nm0271799	Feng Hsu	1950	\N	actress,producer,miscellaneous	tt0064451,tt0099719,tt0106332,tt0830505
nm0271814	Hai-Feng Wei	\N	\N	cinematographer,director,writer	tt1437851,tt0201366,tt0068000,tt0076048
nm0271815	Xiaogang Feng	1958	\N	writer,music_department,director	tt0881200,tt6654316,tt0439884,tt4701702
